,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
518,46,2013-05-01 10:55:11,5,77,,,30,1594,3,3.5,0,3.26,0.0202,5.35,31,101.0,1,1995,3,21,2,0,1,0,,,0,,,,1.0,0.0,13.0,,,,,,,1.0,0.0,4.0,,,,,,,,,,0,,0
550,47,2013-01-14 22:28:43,14,100,4.31,180.75,137,6618,3,4.0,0,4.13,0.1492,4.78,25,118.94,0,13901,6,3,1,1,1,0,,5592.09,0,,,,,,,,,,,,,-1.0,0.0,16.0,,,,,1.0,,,,,0,,0
581,49,2013-02-07 18:40:10,16,31,2.5,270.08,31,983,4,4.0,0,6.38,0.7222,5.31,6,108.54,0,2799,1,5,2,0,1,0,,144.41,0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0
614,52,2013-06-09 09:22:16,16,31,,,215,462,4,4.0,1,0.0,0.0142,0.0,26,97.81,0,23641,2,7,1,0,1,0,,978.07,0,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,13.0,0.0,0.0,,,,,0,,0
646,53,2013-02-13 07:00:24,5,219,,,219,10781,4,4.5,1,3.87,0.2129,5.61,1,163.0,1,7434,2,16,2,0,1,1,,0.06,0,,,,1.0,0.0,23.0,0.0,0.0,,,,,-1.0,0.0,13.0,,,,,,,-1.0,0.0,13.0,0,,0
658,56,2013-04-02 12:23:19,5,219,,,158,7730,5,5.0,0,2.08,,5.97,6,193.0,0,21401,5,96,1,0,1,0,,7403.39,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
664,57,2013-04-11 10:42:23,16,31,,,31,852,4,4.5,0,3.3,0.2128,5.17,10,85.17,0,1074,4,13,2,0,1,0,,66.42,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
692,60,2013-04-14 18:36:46,32,220,,,219,1736,3,4.0,0,3.37,0.0365,5.06,14,152.36,0,23904,3,83,2,1,1,1,,7952.86,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
725,61,2013-06-22 11:20:41,5,219,,,219,16517,3,4.5,1,2.48,,0.0,7,127.0,0,18040,4,359,2,0,1,0,,1955.51,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
737,63,2013-05-23 11:56:25,14,100,,,219,14082,4,4.0,1,4.29,0.239,5.35,6,107.71,0,8192,4,25,3,0,1,0,,1937.45,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
750,64,2012-12-27 11:33:34,5,219,,,219,1110,2,4.0,1,1.39,0.0021,4.24,33,75.0,0,15146,1,2,2,0,1,1,,73.66,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
784,65,2012-11-08 14:05:51,5,219,,,219,7860,4,4.0,1,1.95,,5.09,26,199.0,0,22413,1,0,2,2,1,1,,16.65,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,-1.0,,0,,0
817,66,2013-03-04 20:44:30,5,219,,,219,2459,3,3.5,1,2.77,,4.74,30,81.0,0,5483,1,18,2,0,1,1,-37.7935,,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
851,67,2013-02-28 11:32:25,32,220,,,117,19498,4,4.0,0,3.85,0.0031,4.39,1,79.67,0,1588,2,5,1,1,2,0,,5009.42,0,,,,-1.0,0.0,12.0,-1.0,0.0,13.0,-1.0,0.0,12.0,-1.0,0.0,12.0,,,,,,,,,,0,,0
856,71,2013-03-12 23:14:50,24,216,,,98,1039,3,4.0,0,2.48,0.0915,3.92,13,26.93,0,341,1,18,1,1,1,1,,,1,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0,,0
884,72,2013-04-18 13:33:53,5,219,,,219,4875,4,4.0,1,5.78,0.5539,6.05,25,424.0,0,24700,4,47,2,1,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
916,73,2013-03-28 22:09:18,31,219,,,219,9665,4,4.0,1,1.95,0.1943,5.14,9,143.0,0,26172,4,50,2,0,1,1,,2558.6,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
935,74,2013-05-11 12:39:09,5,219,,,219,12870,4,4.0,1,1.39,,5.31,25,219.0,0,11235,1,6,2,0,1,1,-20.5647,2262.89,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
959,75,2013-05-04 19:20:52,5,219,,,100,6400,2,3.0,0,4.36,0.1531,4.49,13,78.0,0,17311,1,30,3,1,1,0,,319.7,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
993,78,2012-12-21 05:30:35,5,205,,,15,9246,5,5.0,0,0.0,0.002,6.21,26,363.0,0,8660,1,6,1,1,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1023,79,2013-04-07 14:17:02,14,100,,,56,5392,4,4.0,1,4.52,0.0376,5.02,30,98.27,0,16822,3,74,2,0,1,1,,3996.01,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1055,80,2013-01-03 10:58:19,5,219,2.5,122.34,219,409,3,4.0,1,1.1,,4.82,19,116.0,0,7274,2,24,1,0,1,0,,391.93,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1088,81,2013-06-25 15:39:35,5,219,,,219,5439,2,3.5,1,0.69,0.0008,0.0,22,90.0,0,13539,1,3,2,2,1,1,,144.99,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
1124,82,2013-02-18 11:42:06,5,219,,,216,22864,3,4.5,0,2.71,,5.36,4,128.0,0,27275,2,47,2,0,1,1,-14.3098,5509.88,0,,,,,,,,,,-1.0,0.0,19.0,-1.0,0.0,23.0,,,,,,,,,,0,,0
1133,83,2013-04-17 15:51:47,16,31,,,31,13188,3,4.0,0,6.36,0.0307,4.96,13,139.43,0,15620,1,32,2,0,1,0,,308.3,1,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0
1164,84,2013-04-12 17:19:01,5,219,,,129,1521,4,4.5,1,3.4,0.1975,4.97,3,230.0,0,7687,4,172,2,0,1,0,,4791.9,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1186,85,2013-02-28 06:33:47,14,100,,,219,3194,3,3.5,0,0.0,0.0074,5.28,6,88.3,0,2346,1,1,2,0,1,1,,129.03,0,,,,,1.0,,,,,,,,,,,,,,,,,,,,0,,0
1201,87,2013-05-15 18:22:23,16,31,3.74,210.6,31,155,4,4.0,0,2.48,,4.7,9,92.78,0,26262,1,3,1,0,1,1,,164.35,0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,42.0,0.0,0.0,42.0,,1.0,,0,,0
1232,90,2013-04-23 11:12:24,14,100,,,219,14082,4,4.0,1,4.29,0.239,5.36,27,102.37,0,8192,2,44,1,0,1,1,,1208.09,1,,,,0.0,0.0,,0.0,0.0,,,,,-1.0,0.0,20.0,,,,,,,-1.0,0.0,20.0,0,,0
1265,93,2013-01-18 14:55:16,5,219,,,99,663,4,4.5,1,5.85,0.0143,6.21,1,306.0,1,13292,4,26,2,0,2,0,,3455.8,0,1.0,0.0,6.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0
1296,94,2013-01-04 11:34:46,5,219,,,219,3153,2,4.0,1,1.61,0.0599,4.23,10,64.0,0,11966,2,26,2,2,1,0,,106.16,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1329,96,2012-11-27 12:56:02,5,219,,,53,1059,4,3.5,0,3.69,0.0258,4.95,29,101.0,1,13791,4,8,1,0,1,0,,8052.98,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1359,97,2012-11-19 07:33:00,5,219,,,219,419,4,4.0,0,4.6,0.4486,5.28,27,299.0,0,17759,1,6,2,0,1,0,,206.36,0,,,,0.0,0.0,42.0,1.0,0.0,6.0,,,,-1.0,0.0,20.0,,,,,,,-1.0,0.0,20.0,0,,0
1391,99,2013-02-18 16:22:13,5,219,,,219,3795,2,3.5,1,1.61,,3.97,12,49.0,0,12964,1,5,1,0,1,1,,194.77,0,,,,0.0,0.0,12.0,-1.0,0.0,8.0,,,,,,,,,,,,,0.0,0.0,7.0,0,,0
1417,101,2013-02-18 17:59:17,12,99,,,219,1746,2,3.0,1,2.71,0.0226,5.05,33,178.91,0,27620,1,74,4,1,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1449,102,2012-12-31 16:20:08,5,219,,,219,11810,3,4.5,1,2.64,0.1533,4.79,3,99.0,0,18017,2,1,2,0,1,0,,326.94,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1480,103,2013-02-19 08:44:43,32,220,,,219,3599,4,4.0,1,3.33,0.0362,5.27,7,289.98,0,15764,1,0,2,0,2,0,,8596.25,1,,,,,,,0.0,0.0,,,,,0.0,1.0,,,,,,,,0.0,0.0,,0,,0
1493,104,2013-05-10 00:01:48,14,100,,,100,10243,3,5.0,1,1.39,0.1419,5.2,2,142.57,0,3004,3,76,2,1,1,1,,1008.45,1,,,,,,,,,,,,,,,,,,,,,,,,,1,499.22,1
1499,106,2013-06-17 09:20:02,5,219,,,219,73,2,3.5,1,2.77,0.3309,0.0,6,81.0,1,25427,1,24,2,2,1,1,,155.4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1518,107,2013-04-22 17:55:12,5,219,,,219,1249,3,4.5,1,2.4,,4.91,32,80.0,0,7915,1,5,1,0,1,1,,86.36,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1552,108,2013-03-04 15:52:06,12,69,3.35,229.18,219,6727,3,4.0,1,2.77,0.0056,5.21,4,144.59,0,23605,1,33,1,1,2,1,,,1,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1562,109,2013-05-04 12:27:19,14,100,,,219,15095,2,3.5,1,1.79,0.0522,4.38,7,65.48,0,21312,1,14,2,0,1,1,,1307.93,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
1569,110,2013-03-09 11:16:54,5,219,,,219,562,2,2.0,1,2.83,0.0515,4.24,24,90.0,0,22097,1,23,3,3,2,0,,268.04,1,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0,,0
1601,111,2013-04-01 11:09:26,24,216,,,219,1753,2,3.0,0,3.69,0.1144,5.02,16,101.05,0,27770,4,23,2,1,1,0,,,0,,,,,,,0.0,0.0,,,,,1.0,0.0,6.0,,,,,,,1.0,0.0,6.0,0,,0
1625,112,2013-04-18 13:12:26,5,219,,,219,10206,3,4.5,1,2.08,,5.01,27,141.0,0,18584,3,2,1,0,1,1,,1635.81,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1651,113,2012-11-20 11:06:17,23,181,3.89,137.25,181,339,4,4.5,0,2.56,0.0146,5.19,19,177.49,0,3531,1,2,1,0,1,1,,,0,,,,,,,,,,,,,1.0,0.0,11.0,,,,1.0,0.0,11.0,,,,0,,0
1681,114,2013-04-02 08:20:10,5,219,,,219,3067,2,4.0,1,2.4,,4.29,36,85.0,0,23105,1,235,2,0,1,1,,173.25,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1714,115,2013-03-28 18:08:52,5,219,,,219,5507,3,5.0,1,2.56,0.1382,4.71,3,118.0,0,16765,1,70,2,2,1,1,,525.13,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1729,116,2012-11-29 16:08:37,14,100,,,100,5105,3,4.0,0,0.0,0.0454,5.43,3,120.91,0,21087,2,1,2,0,1,1,,194.83,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1748,117,2013-04-25 10:34:31,5,219,,,219,17289,3,4.0,0,1.1,0.0044,5.02,4,296.0,1,1515,1,2,2,0,1,1,,77.75,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1765,118,2013-06-17 21:08:27,5,219,,,219,642,3,4.5,1,2.77,0.1656,0.0,2,99.0,0,13502,3,31,2,2,1,1,,278.02,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
1796,119,2013-06-09 15:53:35,23,181,,,55,4629,4,4.5,1,3.47,0.0396,0.0,2,247.61,1,21435,3,60,2,2,1,1,,,1,,,,,,,,,,,,,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,,,,0,,0
1807,120,2013-01-06 10:22:49,5,219,,,219,1707,5,5.0,0,5.58,0.3428,6.2,19,639.0,0,15748,1,3,2,0,1,0,,111.11,0,,,,0.0,0.0,,,,,1.0,0.0,35.0,1.0,1.0,35.0,,,,,,,1.0,0.0,35.0,0,,0
1828,123,2013-05-09 20:20:41,5,219,,,219,1639,3,4.0,1,0.0,0.062,4.91,4,103.0,0,15265,1,2,2,0,1,1,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1861,124,2012-12-21 12:53:27,5,219,,,219,3709,3,3.5,1,2.89,0.0083,4.44,33,60.0,0,4182,1,1,1,1,1,1,,699.98,0,,,,0.0,0.0,,1.0,0.0,6.0,,,,-1.0,0.0,10.0,,,,,,,-1.0,0.0,13.0,0,,0
1894,126,2013-03-30 11:31:29,32,220,,,221,3086,3,3.5,0,2.83,0.0349,4.74,14,114.61,0,27953,2,117,4,0,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1916,127,2013-05-15 13:21:35,24,219,,,219,38161,4,4.0,1,2.71,0.0525,5.63,1,125.11,1,2518,1,76,2,2,1,0,,435.64,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,0
1924,128,2013-02-11 06:26:05,14,100,,,219,1230,3,3.5,0,5.83,0.201,5.7,13,321.46,0,4562,3,80,2,0,1,1,,342.06,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1957,129,2013-01-16 06:56:51,5,35,,,35,2511,3,4.0,0,3.83,0.1886,4.83,6,76.0,1,21207,2,1,1,0,1,1,,,0,,,,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,0,,0
1989,131,2012-12-25 11:04:44,9,59,,,219,8813,3,5.0,1,0.69,0.0344,4.88,10,99.46,0,20596,2,0,4,0,1,0,,,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2018,133,2013-03-14 11:27:28,5,219,,,219,14082,4,4.0,1,4.29,0.239,5.36,34,198.0,0,8192,3,99,1,0,1,1,,397.75,1,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4.0,0,,0
2050,134,2013-05-31 05:31:42,5,219,,,219,6774,3,4.0,0,3.26,0.0599,5.09,24,220.0,1,3694,2,6,2,0,1,1,,86.52,1,,,,1.0,0.0,36.0,,,,,,,,,,,,,,,,,,,0,,0
2081,135,2013-02-13 14:55:10,5,219,,,219,1990,3,4.5,1,0.69,0.0082,5.06,3,120.0,0,16570,4,44,1,1,2,1,,338.34,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2093,136,2013-04-04 18:43:37,5,219,,,219,805,2,3.0,1,2.71,0.2419,4.79,13,59.0,0,6767,2,15,2,2,1,1,,164.58,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2119,138,2012-11-18 18:21:57,5,219,,,219,7941,3,4.5,1,1.39,0.001,4.83,3,89.0,0,13216,2,5,4,0,1,1,,215.16,1,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2136,139,2013-06-13 03:47:02,24,219,,,219,7919,4,3.5,1,5.8,0.6668,0.0,9,180.35,0,24700,1,18,2,0,1,0,,24.86,1,-1.0,0.0,5.0,0.0,0.0,,0.0,0.0,,1.0,0.0,15.0,-1.0,0.0,5.0,,,,,,,-1.0,0.0,5.0,0,,0
2150,140,2013-05-31 10:06:26,5,219,,,59,1212,4,4.5,0,2.71,0.0321,6.21,1,264.0,1,1562,5,47,2,0,1,0,,,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,1,,0
2182,143,2013-05-22 08:23:23,5,219,,,219,41277,4,4.5,1,3.3,0.11800000000000001,5.21,1,179.0,0,20193,1,0,2,0,1,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2190,144,2013-04-01 10:17:06,5,59,,,219,500,3,4.5,1,2.71,,4.88,12,114.0,0,16863,2,3,2,2,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,259.92,1
2207,145,2013-05-16 20:46:50,5,219,,,219,7847,2,3.0,1,2.08,0.1608,4.9,3,102.0,0,5614,6,29,1,0,1,0,,225.59,1,,,,0.0,0.0,,,1.0,,,,,-1.0,0.0,9.0,,,,,,,0.0,0.0,,0,,0
2237,146,2013-02-06 13:52:27,5,219,,,219,27511,0,0.0,0,3.09,0.047,4.9,16,350.0,0,18321,2,1,1,0,1,1,,278.36,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2252,147,2013-01-25 11:50:34,5,219,,,219,2990,3,4.5,1,4.47,0.1356,5.54,20,99.0,0,12452,2,7,1,0,1,1,,1465.45,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,10.0,,,,,,,0.0,0.0,,0,,0
2285,148,2013-03-21 02:24:03,10,4,,,219,14082,4,4.0,1,4.29,0.239,5.36,29,179.31,0,8192,4,227,1,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2318,151,2013-06-09 15:26:42,26,39,,,202,11408,4,3.5,0,1.1,0.4189,0.0,1,132.92,1,4851,1,20,5,0,2,1,,,0,,,,0.0,0.0,,,,,-1.0,0.0,2.0,-1.0,0.0,2.0,,,,,,,,,,0,,0
2324,152,2012-11-15 18:42:17,5,219,,,219,8991,2,3.0,1,1.39,,4.19,8,69.0,0,9268,2,50,2,0,1,1,,88.13,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2354,157,2013-04-23 02:51:56,5,219,3.38,206.02,219,7847,2,3.0,1,2.08,0.1608,4.67,4,126.0,0,5614,3,43,3,0,1,0,,493.16,1,,,,0.0,0.0,,,,,,,,-1.0,0.0,9.0,,,,,,,,,,0,,0
2378,158,2013-05-15 10:59:40,24,219,,,219,9522,3,4.0,1,4.66,0.4168,5.6,24,126.75,1,20319,1,0,2,1,1,0,,2414.41,1,,,,0.0,0.0,,,,,,,,-1.0,0.0,5.0,,,,,,,-1.0,-1.0,5.0,0,,0
2407,159,2013-05-08 06:44:22,5,219,,,219,7724,3,4.0,1,0.69,,5.0,6,139.0,0,28323,4,5,2,0,2,0,,762.7,0,,,,,,,-1.0,0.0,14.0,,,,,,,,,,,,,-1.0,0.0,14.0,0,,0
2433,160,2013-06-13 01:33:47,22,92,,,99,663,4,4.5,1,5.85,0.0724,0.0,19,272.44,1,5474,3,57,2,0,1,1,,,1,1.0,0.0,12.0,,,,,,,,,,1.0,0.0,5.0,0.0,0.0,,1.0,0.0,5.0,,,,0,,0
2459,161,2013-03-29 13:10:38,5,219,,,219,560,3,4.5,1,0.0,0.0004,5.89,26,272.0,0,8347,2,27,1,0,1,1,,1538.86,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
2492,162,2012-11-10 09:29:59,5,219,,,129,1216,4,4.0,0,0.0,,4.6,9,159.0,0,7048,1,1,2,1,1,0,,3745.83,1,,,,,,,,,,,,,-1.0,0.0,12.0,,,,0.0,0.0,,,,,0,,0
2501,163,2013-04-14 19:23:27,5,219,,,219,3255,3,5.0,1,0.0,,4.99,7,132.0,0,15471,1,13,2,0,1,1,,137.49,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2509,165,2013-02-25 15:00:46,7,100,,,219,2039,3,4.0,1,3.0,0.092,4.99,28,133.5,0,22997,2,59,2,1,1,1,-44.8594,2300.32,0,,,,0.0,0.0,,,1.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2543,168,2013-01-04 10:27:26,12,99,,,132,1057,3,2.0,0,5.51,0.6446,5.28,10,64.04,0,27231,1,5,1,0,1,0,,,0,-1.0,0.0,14.0,,,,,,,,,,-1.0,0.0,14.0,,,,,,,,-1.0,,0,,0
2575,170,2013-03-07 18:13:21,5,219,,,219,3067,2,4.0,1,2.4,,4.29,32,82.0,0,17100,3,7,2,1,1,1,,349.59,0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
2608,174,2013-05-17 08:03:22,5,219,,,219,1157,2,4.0,1,1.39,0.0163,4.28,6,59.0,0,19521,2,11,1,0,1,0,,664.36,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
2640,175,2013-05-29 12:29:11,14,100,,,100,5847,4,4.5,0,4.49,0.0663,5.23,32,201.91,0,6792,1,3,2,1,1,1,,44.36,0,,,,0.0,0.0,4.0,,,,,,,0.0,0.0,14.0,,,,,,,0.0,0.0,14.0,0,,0
